effective_date,name,old_ticker,new_ticker,reason
8/10/2011,Niuminco Group Ltd,DSFDD AU,NIUDD AU,Name Change
8/10/2011,Niuminco Group Ltd,DSFDB AU,NIUDB AU,Name Change
8/11/2011,FE Investments Group Ltd,ASQDA AU,ASQ AU,Deferred Delivery
8/11/2011,Acer Energy Ltd,INP AU,ACN AU,Name Change
8/16/2011,Jupiter Energy Ltd,JPR AU,JPRDA AU,Reverse Stock Split
8/18/2011,Babylon Pump & Power Ltd,IMI AU,IMIDA AU,Change of Exchange
8/18/2011,Cash Converters International Ltd,CCV AU,CCVDA AU,Reclassification of Shares
8/18/2011,Viralytics Ltd,VLADA AU,VLA AU,Deferred Delivery
8/19/2011,Fin Resources Ltd,MHL AU,OGY AU,Name Change
8/23/2011,Qube Holdings Ltd,QUB AU,QUBDA AU,Reclassification of Shares
8/23/2011,Amcom Telecommunications Pty Ltd,AMM AU,AMMDA AU,Deferred Delivery
8/23/2011,BetaShares Gold Bullion ETF Currency Hedged,QAU AU,QAUDA AU,Deferred Delivery
8/26/2011,Continental Coal Ltd,CCC AU,CCCDA AU,Deferred Delivery
8/29/2011,Babylon Pump & Power Ltd,IMIDA AU,IMI AU,Deferred Delivery
8/29/2011,Respiri Ltd,KSX AU,ISN AU,Name Change
8/30/2011,Jupiter Energy Ltd,JPRDA AU,JPR AU,Deferred Delivery
8/30/2011,Castlemaine Goldfields Ltd,CGT AU,CGTDA AU,Deferred Delivery
8/31/2011,Cash Converters International Ltd,CCVDA AU,CCV AU,Change of Exchange
8/31/2011,Phillips River Mining Ltd,TTR AU,TTRDA AU,Deferred Delivery
8/31/2011,FE Investments Group Ltd,ASQ AU,CGQ AU,Name Change
9/1/2011,Veris Ltd,ESW AU,ESWDA AU,Reverse Stock Split
9/1/2011,Dubber Corp Ltd,OLE AU,OLEDA AU,Reverse Stock Split
9/6/2011,Qube Holdings Ltd,QUBDA AU,QUB AU,Deferred Delivery
9/6/2011,CMA Corp Ltd,CMV AU,CMVDA AU,Deferred Delivery
9/6/2011,Amcom Telecommunications Pty Ltd,AMMDA AU,AMM AU,Deferred Delivery
9/6/2011,BetaShares Gold Bullion ETF Currency Hedged,QAUDA AU,QAU AU,Deferred Delivery
9/9/2011,Continental Coal Ltd,CCCDA AU,CCC AU,Deferred Delivery
9/9/2011,Castlemaine Goldfields Ltd,CGTDA AU,CGT AU,Deferred Delivery
9/12/2011,Veris Ltd,ESWDA AU,ESW AU,Deferred Delivery
9/13/2011,Woomera Mining Ltd,AIW AU,AIWDA AU,Deferred Delivery
9/14/2011,Phillips River Mining Ltd,TTRDA AU,TTR AU,Deferred Delivery
9/15/2011,Dubber Corp Ltd,OLEDA AU,OLE AU,Deferred Delivery
9/15/2011,Phillips River Mining Ltd,TTR AU,PRH AU,Name Change
9/16/2011,EQ Resources Ltd,III AU,CNQ AU,Name Change
9/20/2011,CMA Corp Ltd,CMVDA AU,CMV AU,Deferred Delivery
9/26/2011,Plentex Ltd,PRM AU,PRMDA AU,Deferred Delivery
9/27/2011,Woomera Mining Ltd,AIWDA AU,AIW AU,Deferred Delivery
9/27/2011,Antilles Gold Ltd,EVG AU,PGI AU,Name Change
9/27/2011,Antilles Gold Ltd,EVGO AU,PGIO AU,Change of Exchange
9/28/2011,Mirvac Group,MGRAM AU,MGRAO AU,Reclassification of Shares
9/28/2011,Dubber Corp Ltd,OLE AU,CUG AU,Name Change
9/29/2011,Northwest Healthcare Properties Australia Real Estate Investment Trust,IHF AU,GHC AU,Name Change
9/30/2011,Skyfii Ltd,RKS AU,RKSDD AU,Deferred Delivery
10/5/2011,Centaurus Metals Ltd,CTM AU,CTMDA AU,Deferred Delivery
10/11/2011,Plentex Ltd,PRMDA AU,PRM AU,Deferred Delivery
10/14/2011,Direct Nickel Ltd,WTG AU,WTGDA AU,Change of Exchange
10/17/2011,Skyfii Ltd,RKSDD AU,RKS AU,Deferred Delivery
10/18/2011,Vertua Ltd,PFBA AU,VER AU,Name Change
10/18/2011,Global Energy Ventures Ltd,WGP AU,TTE AU,Name Change
10/18/2011,Global Energy Ventures Ltd,WGPO AU,TTEO AU,Name Change
10/19/2011,NewSat Ltd,NWT AU,NWTDA AU,Deferred Delivery
10/19/2011,Centaurus Metals Ltd,CTMDA AU,CTM AU,Deferred Delivery
10/21/2011,Energy Technologies Ltd,DUL AU,EGY AU,Name Change
10/24/2011,Vertua Ltd,VER AU,VERA AU,No Reason Supplied by Exchange
10/25/2011,CommStrat Ltd,COJ AU,COJDA AU,Deferred Delivery
10/28/2011,Direct Nickel Ltd,WTGDA AU,WTG AU,Deferred Delivery
10/31/2011,Rhinomed Ltd,HCG AU,CGP AU,Name Change
11/2/2011,Medivac Ltd,MDV AU,MDVDA AU,Deferred Delivery
11/2/2011,Devine Ltd,DVN AU,DVNDA AU,Deferred Delivery
11/2/2011,Mazu Alliance Ltd,GXG AU,MZU AU,Name Change
11/3/2011,Spacetalk Ltd,MWR AU,MWRDA AU,Deferred Delivery
11/3/2011,NewSat Ltd,NWTDA AU,NWT AU,Deferred Delivery
11/3/2011,A1 Investments & Resources Ltd,CCY AU,AYI AU,Name Change
11/3/2011,Strategic Pooled Development Ltd,SPD AU,SPDDA AU,Deferred Delivery
11/7/2011,Hastie Group Ltd,HST AU,HSTDA AU,Deferred Delivery
11/7/2011,Vision Eye Institute Ltd,VGH AU,VEI AU,Change of Exchange
11/8/2011,Evolution Mining Ltd,CAH AU,EVN AU,Name Change
11/8/2011,Evolution Mining Ltd,CAHOA AU,EVNOA AU,Name Change
11/8/2011,Evolution Mining Ltd,CAHOB AU,EVNOB AU,Name Change
11/9/2011,CommStrat Ltd,COJDA AU,COJ AU,Deferred Delivery
11/10/2011,Data#3 Ltd,DTL AU,DTLDA AU,Deferred Delivery
11/11/2011,Engenco Ltd,EGN AU,EGNDA AU,Reverse Stock Split
11/16/2011,Devine Ltd,DVNDA AU,DVN AU,Deferred Delivery
11/16/2011,Medivac Ltd,MDVDA AU,MDV AU,Deferred Delivery
11/16/2011,Strategic Pooled Development Ltd,SPDDA AU,SPD AU,Deferred Delivery
11/17/2011,Spacetalk Ltd,MWRDA AU,MWR AU,Deferred Delivery
11/21/2011,Mariner Corp Ltd,MCX AU,MCXDA AU,Deferred Delivery
11/21/2011,Swift Media Ltd,SFN AU,SFNDA AU,Deferred Delivery
11/21/2011,Hastie Group Ltd,HSTDA AU,HST AU,Deferred Delivery
11/24/2011,Villa World Ltd,VLW AU,VLWDC AU,Deferred Delivery
11/24/2011,Data#3 Ltd,DTLDA AU,DTL AU,Deferred Delivery
11/24/2011,Buddy Technologies Ltd,TRH AU,POK AU,Name Change
11/25/2011,Red 5 Ltd,RED AU,REDDA AU,Deferred Delivery
11/25/2011,Metalicity Ltd,PLD AU,PLDDA AU,Reverse Stock Split
11/25/2011,Engenco Ltd,EGNDA AU,EGN AU,Deferred Delivery
11/25/2011,Magontec Ltd,ANM AU,MGL AU,Name Change
11/29/2011,Caeneus Minerals Ltd,MRX AU,MRXDA AU,Reverse Stock Split
11/29/2011,Becton Property Group,BEC AU,BECDA AU,Deferred Delivery
11/29/2011,Livetiles Ltd,TVN AU,MOU AU,Name Change
11/30/2011,Luminus Systems Ltd,LSL AU,LSLDA AU,Deferred Delivery
11/30/2011,Kaboko Mining Ltd,URA AU,KAB AU,Name Change
11/30/2011,Kaboko Mining Ltd,URAOA AU,KABOA AU,Name Change
11/30/2011,Kaboko Mining Ltd,URAO AU,KABO AU,Name Change
12/1/2011,Pacific National Holdings Pty Ltd,AIO AU,AIODC AU,Deferred Delivery
12/1/2011,UCL Resources Ltd,UCL AU,UCLDA AU,Deferred Delivery
12/1/2011,Ionic Rare Earths Ltd,EZE AU,EZEDA AU,Deferred Delivery
12/1/2011,COG Financial Services Ltd,WAB AU,AIK AU,Name Change
12/2/2011,Kogi Iron Ltd,EIO AU,EIODC AU,Reverse Stock Split
12/2/2011,Connected IO Ltd,AEX AU,AEXDA AU,Deferred Delivery
12/2/2011,Tamaska Oil & Gas Ltd,KOG AU,TMK AU,Name Change
12/2/2011,Bellevue Gold Ltd,CEO AU,CEODA AU,Change of Exchange
12/2/2011,Structural Monitoring Systems PLC,SMN AU,SMNDC AU,Change of Exchange
12/2/2011,Eftel Ltd,EFT AU,EFTDA AU,Name Change
12/2/2011,Connected IO Ltd,AEXCD AU,AEXDB AU,Deferred Delivery
12/2/2011,Tamaska Oil & Gas Ltd,KOGO AU,TMKO AU,Name Change
12/5/2011,Mariner Corp Ltd,MCXDA AU,MCX AU,Deferred Delivery
12/5/2011,Vicinity Centres,CER AU,CRF AU,Reclassification of Shares
12/5/2011,Swift Media Ltd,SFNDA AU,SFN AU,Deferred Delivery
12/5/2011,SFG Australia Ltd,SNO AU,SFW AU,Name Change
12/5/2011,Kingston Resources Ltd,DMN AU,NUW AU,Change of Exchange
12/5/2011,Firefinch Ltd,EYE AU,BGS AU,Change of Exchange
12/5/2011,Kingston Resources Ltd,DMNOA AU,NUWOA AU,Name Change
12/5/2011,Kingston Resources Ltd,DMNOB AU,NUWOB AU,Name Change
12/5/2011,Kingston Resources Ltd,DMNOC AU,NUWOC AU,Name Change
12/6/2011,Sydney Airport,MAP AU,MAPDA AU,Deferred Delivery
12/7/2011,Virgin Australia Holdings Pty Ltd,VBA AU,VAH AU,Name Change
12/7/2011,Sprintex Ltd,ATJ AU,SIX AU,Name Change
12/7/2011,Sprintex Ltd,ATJOA AU,SIXOA AU,Name Change
12/8/2011,Villa World Ltd,VLWDC AU,VLW AU,Deferred Delivery
12/9/2011,World Titanium Resources Ltd,BOM AU,BOMDA AU,Deferred Delivery
12/9/2011,Red 5 Ltd,REDDA AU,RED AU,Deferred Delivery
12/9/2011,Metalicity Ltd,PLDDA AU,PLD AU,Deferred Delivery
12/9/2011,Ionic Rare Earths Ltd,EZEDA AU,EZE AU,Deferred Delivery
12/9/2011,Kupang Resources Ltd,CHM AU,CHMDA AU,Deferred Delivery
12/9/2011,Fin Resources Ltd,OGY AU,OGYDA AU,Deferred Delivery
12/12/2011,Becton Property Group,BECDA AU,BEC AU,Deferred Delivery
12/12/2011,Bellevue Gold Ltd,CEODA AU,CEO AU,Deferred Delivery
12/13/2011,Luminus Systems Ltd,LSLDA AU,LSL AU,Deferred Delivery
12/13/2011,Caeneus Minerals Ltd,MRXDA AU,MRX AU,Deferred Delivery
12/13/2011,Brightstar Resources Ltd,AAM AU,SHK AU,Name Change
12/13/2011,MaxSec Group Ltd,FCS AU,MSP AU,Name Change
12/13/2011,MaxSec Group Ltd,FCSOA AU,MSPOA AU,Name Change
12/14/2011,IVS Holdings Ltd,FTD AU,FTDDC AU,Reverse Stock Split
12/14/2011,Bellevue Gold Ltd,CEO AU,DRG AU,Name Change
12/14/2011,Bellevue Gold Ltd,CEOO AU,DRGO AU,Name Change
